bommie_number,siteCode,siteNumber,date,startTime,endTime,site,lat_start,lon_start,lat_end,lon_end,x_coord,y_coord,live_coral_total,dead_coral_total,turf_total,macroalgae_total,rock_total,invertebrate_total,number_total_points,proportion_live_coral,proportion_dead_coral,proportion_turf,proportion_macroalgae,proportion_rock,proportion_invertebrate,final_coralSpecies,depth,height,length,width,circumference,depth_to_benthos,L_onLive,L_onDead,D_liveOnLive,D_liveOnDead,D_deadOnLive,D_deadOnDead,tridacna,spirobranchus,total_L,total_live_D,total_D,density_L_onLive,density_L_onDead,density_D_liveOnLive,density_D_liveOnDead,density_D_deadOnLive,density_D_deadOnDead,density_tridacna,density_spirobranchus,density_total_L,density_total_live_D,density_total_D,percent_N_jan,percent_N_may,percent_N_aug,jan_d15,may_d15,aug_d15,avg_speed,avg_speed_offshore,distanceOutBay,L_onLive_diameter,L_onDead_diameter,D_onLive_diameter,D_onDead_diameter,notes,collector1,collector2,collector3,,,,,,,,,,,,,,,,,,,,,,,
8,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,48,-1,0,0,2,0,0,0,2,0,0,1,0,0,0,Porites lobata,132,25,26,18,50,157,0,2,0,0,0,2,0,0,2,0,2,,1,,0,,1,0,0,1,0,1,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,2,,,,Ellie Fox,Zoe Fu-Chen,,,,,,,,,,,,,,,,,,,,,,,,
8,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,48,-1,0,0,2,0,0,0,2,0,0,1,0,0,0,Porites lobata,132,25,26,18,50,157,0,2,0,0,0,2,0,0,2,0,2,,1,,0,,1,0,0,1,0,1,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ethan Kahn,Natalie Loftus,,,,,,,,,,,,,,,,,,,,,,,,
8,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,48,-1,0,0,2,0,0,0,2,0,0,1,0,0,0,Porites lobata,132,25,26,18,50,157,0,2,0,0,0,2,0,0,2,0,2,,1,,0,,1,0,0,1,0,1,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
9,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,50,-9,0,0,2,2,0,0,4,0,0,0.5,0.5,0,0,Porites lobata,100,19,33,28,77,119,0,0,0,0,0,1,0,0,0,0,1,,0,,0,,0.25,0,0,0,0,0.25,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
9,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,50,-9,0,0,2,2,0,0,4,0,0,0.5,0.5,0,0,Porites lobata,100,19,33,28,77,119,0,0,0,0,0,1,0,0,0,0,1,,0,,0,,0.25,0,0,0,0,0.25,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ellie Fox,Zoe Fu-Chen,,,,,,,,,,,,,,,,,,,,,,,,
9,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,50,-9,0,0,2,2,0,0,4,0,0,0.5,0.5,0,0,Porites lobata,100,19,33,28,77,119,0,0,0,0,0,1,0,0,0,0,1,,0,,0,,0.25,0,0,0,0,0.25,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ethan Kahn,Natalie Loftus,,,,,,,,,,,,,,,,,,,,,,,,
9,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,50,-9,0,0,2,2,0,0,4,0,0,0.5,0.5,0,0,Porites lobata,100,19,33,28,77,119,0,0,0,0,0,1,0,0,0,0,1,,0,,0,,0.25,0,0,0,0,0.25,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
10,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,50,-1,0,0,5,5,0,0,10,0,0,0.5,0.5,0,0,Porites lobata,144,15,52,37,117,159,0,2,0,0,0,3,0,0,2,0,3,,0.2,,0,,0.3,0,0,0.2,0,0.3,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,3.1,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
10,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,50,-1,0,0,5,5,0,0,10,0,0,0.5,0.5,0,0,Porites lobata,144,15,52,37,117,159,0,2,0,0,0,3,0,0,2,0,3,,0.2,,0,,0.3,0,0,0.2,0,0.3,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,6.4,,,,Ellie Fox,Zoe Fu-Chen,,,,,,,,,,,,,,,,,,,,,,,,
10,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,50,-1,0,0,5,5,0,0,10,0,0,0.5,0.5,0,0,Porites lobata,144,15,52,37,117,159,0,2,0,0,0,3,0,0,2,0,3,,0.2,,0,,0.3,0,0,0.2,0,0.3,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ethan Kahn,Natalie Loftus,,,,,,,,,,,,,,,,,,,,,,,,
